"","CR1","CR2","CR3","CR4","CR5","CR6","CR7","CR8","CR9","CR10","SV1","SV2","SV3","SV4","SV5","SV6","SV7","SV8","SV9","SV10","GT1","GT2","GT3","GT4","GT5","GT6","GT7","GT8","GT9","GT10","HN1","HN2","HN3","HN4","HN5","HN6","HN7","HN8","HN9","HN10","NI1","NI2","NI3","NI4","NI5","NI6","NI7","NI8","NI9","NI10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","date"
"1","-43.93","-983.53","1640.76","-839.21","138.05","-43.93","-983.53","1640.76","-839.21","138.05","-78.76","-1139.86","220.85","-373.48","1213.73","-78.76","-1139.86","220.85","-373.48","1213.73","361.94","-1496.69","105.79","-404.30","2157.14","361.94","-1496.69","105.79","-404.30","2157.14","144.74","-657.49","-34.14","-359.00","1195.36","144.74","-657.49","-34.14","-359.00","1195.36","-41.70","-449.50","184.10","-159.70","383.40","-41.70","-449.50","184.10","-159.70","383.40","348.30","-2072.40","1652.70","-796.00","1564.00","348.30","-2072.40","1652.70","-796.00","1564.00","-1556.84","-2124.25","2138.61","-1507.85","-63.35","-1556.84","-2124.25","2138.61","-1507.85","-63.35",2018-03-01
"2","-648.39","-1195.78","1210.24","-790.00","127.14","-692.31","-2179.30","2851.00","-1629.21","265.19","-158.75","-1429.78","231.19","-369.70","1409.53","-237.51","-2569.63","452.04","-743.18","2623.27","237.74","-2053.23","64.49","-362.35","2588.83","599.69","-3549.93","170.29","-766.65","4745.98","-228.79","-1109.17","-77.94","-427.02","1385.34","-84.05","-1766.65","-112.08","-786.02","2580.70","-155.00","-453.30","82.00","-189.90","406.20","-196.70","-902.80","266.10","-349.60","789.60","-300.40","-2294.80","1356.70","-994.00","1631.70","47.90","-4367.20","3009.40","-1790.00","3195.70","-660.54","-2095.44","2338.94","-866.46","-37.59","-2217.38","-4219.68","4477.55","-2374.31","-100.94",2018-06-01
"3","-246.08","-1021.97","1316.85","-677.33","136.37","-938.40","-3201.28","4167.85","-2306.54","401.57","-408.77","-1538.64","213.55","-411.69","1328.01","-646.27","-4108.28","665.59","-1154.87","3951.28","145.13","-2176.04","64.34","-327.13","2583.95","744.82","-5725.96","234.63","-1093.78","7329.93","-476.81","-1236.09","-135.06","-490.59","1384.93","-560.86","-3002.74","-247.14","-1276.62","3965.63","65.70","-239.70","60.00","-157.40","402.80","-131.00","-1142.50","326.10","-507.00","1192.40","-639.70","-2459.10","1279.20","-1068.00","1608.20","-591.80","-6826.30","4288.60","-2858.00","4803.90","-1607.77","-2469.46","2011.87","-1089.86","-60.33","-3825.15","-6689.14","6489.42","-3464.17","-161.26",2018-09-01
"4","-928.92","-1418.59","1371.02","-1037.45","156.10","-1867.32","-4619.87","5538.87","-3343.99","557.67","-212.88","-1531.98","216.36","-315.23","1417.97","-859.15","-5640.26","881.95","-1470.09","5369.24","-95.25","-2258.80","-68.92","-408.43","2640.90","649.56","-7984.77","165.71","-1502.21","9970.83","-749.70","-1372.63","-168.87","-602.93","1394.72","-1310.57","-4375.37","-416.01","-1879.54","5360.36","-103.10","-461.60","84.80","-145.20","418.90","-234.10","-1604.10","410.90","-652.20","1611.30","-729.70","-2732.90","1207.90","-833.70","1629.00","-1321.50","-9559.20","5496.50","-3691.70","6432.90","-1480.82","-2518.26","1848.56","-766.65","-44.47","-5305.97","-9207.40","8337.98","-4230.82","-205.74",2018-12-01
"5","-55.12","-1039.59","1807.90","-978.91","155.48","-55.12","-1039.59","1807.90","-978.91","155.48","-51.18","-1346.03","338.14","-365.59","1322.31","-51.18","-1346.03","338.14","-365.59","1322.31","274.77","-1777.43","57.84","-332.86","2327.21","274.77","-1777.43","57.84","-332.86","2327.21","-148.96","-922.51","-94.57","-472.05","1340.17","-148.96","-922.51","-94.57","-472.05","1340.17","127.40","-244.10","98.30","-122.60","395.80","127.40","-244.10","98.30","-122.60","395.80","276.30","-2138.20","1672.60","-989.10","1731.00","276.30","-2138.20","1672.60","-989.10","1731.00","-1108.43","-2198.79","2262.19","-1110.86","-60.99","-1108.43","-2198.79","2262.19","-1110.86","-60.99",2019-03-01
"6","5.31","-815.61","1453.51","-781.00","148.41","-49.80","-1855.20","3261.41","-1759.90","303.89","-28.74","-1415.55","262.33","-300.33","1424.82","-79.91","-2761.58","600.47","-665.92","2747.12","674.60","-1936.11","73.06","-364.22","2901.87","949.37","-3713.54","130.90","-697.08","5229.09","53.59","-802.31","-172.92","-476.09","1504.91","-95.36","-1724.81","-267.49","-948.14","2845.08","196.50","-257.60","141.10","-124.80","437.80","323.90","-501.70","239.40","-247.40","833.60","-567.10","-2322.60","1031.80","-1275.00","1664.80","-290.80","-4460.80","2704.40","-1930.20","3395.80","-1592.20","-2326.92","2139.96","-1344.96","-60.27","-2700.63","-4525.71","4402.15","-2455.82","-121.25",2019-06-01
"7","-131.08","-913.34","1440.88","-797.88","139.27","-180.88","-2768.54","4702.28","-2557.78","443.16","-84.19","-1438.02","251.11","-307.20","1409.91","-164.10","-4199.60","851.58","-973.12","4157.03","621.92","-2074.78","23.33","-321.29","2994.66","1571.29","-5788.32","154.23","-1018.37","8223.75","84.24","-992.66","-177.74","-369.69","1624.34","-11.12","-2717.48","-445.24","-1317.83","4469.42","245.90","-229.80","114.50","-89.60","450.80","569.80","-731.50","353.90","-337.00","1284.40","-771.30","-2460.80","1147.80","-1226.70","1768.40","-1062.10","-6921.60","3852.20","-3156.90","5164.20","-633.00","-1716.69","2135.20","-993.69","-57.82","-3333.63","-6242.40","6537.35","-3449.51","-179.07",2019-09-01
"8","-645.28","-1099.94","1589.93","-1273.90","138.63","-826.16","-3868.48","6292.22","-3831.68","581.78","50.75","-1509.00","445.13","-367.98","1482.60","-113.36","-5708.60","1296.71","-1341.10","5639.63","250.20","-2178.59","-116.28","-385.68","2930.75","1821.49","-7966.91","37.95","-1404.06","11154.50","-392.97","-1192.64","-179.16","-653.46","1632.30","-404.08","-3910.12","-624.40","-1971.29","6101.72","184.30","-324.40","164.60","-129.40","473.50","754.10","-1055.90","518.50","-466.40","1757.90","-125.80","-2153.50","1206.10","-912.00","1733.60","-1187.90","-9075.10","5058.30","-4068.90","6897.80","-691.63","-1289.76","2084.27","-1457.98","-28.14","-4025.26","-7532.16","8621.61","-4907.49","-207.22",2019-12-01
"9","247.64","-653.90","1888.74","-1119.78","132.58","247.64","-653.90","1888.74","-1119.78","132.58","20.57","-1270.13","259.24","-285.34","1316.79","20.57","-1270.13","259.24","-285.34","1316.79","692.43","-1496.74","-24.30","-318.85","2532.32","692.43","-1496.74","-24.30","-318.85","2532.32","54.55","-758.14","-91.50","-419.44","1323.62","54.55","-758.14","-91.50","-419.44","1323.62","205.90","-164.40","158.70","-233.90","445.50","205.90","-164.40","158.70","-233.90","445.50","81.10","-1933.70","1360.80","-998.10","1652.10","81.10","-1933.70","1360.80","-998.10","1652.10","-4.70","-917.87","1973.66","-1041.73","-18.76","-4.70","-917.87","1973.66","-1041.73","-18.76",2020-03-01
"10","-198.31","-513.33","799.50","-618.24","133.76","49.33","-1167.23","2688.24","-1738.03","266.34","-123.04","-1192.01","-36.71","-128.18","1233.85","-102.48","-2462.13","222.54","-413.52","2550.64","1052.59","-1230.56","-16.09","-335.25","2634.48","1745.01","-2727.29","-40.39","-654.10","5166.80","214.14","-577.10","-231.70","-313.27","1336.22","268.69","-1335.24","-323.20","-732.72","2659.84","45.30","-191.60","32.60","-241.80","446.10","251.20","-356.00","191.30","-475.70","891.60","-446.60","-1480.70","-207.70","-463.60","1705.40","-365.50","-3414.40","1153.10","-1461.70","3357.50","-30.68","-946.94","997.29","-107.49","26.46","-35.39","-1864.81","2970.95","-1149.22","7.70",2020-06-01
