"","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fechas","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá"
"5","","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado"
"6","2018-I","75.48","-389.17","133.40","522.56","135.58","-2.04","-1006.25","75.48","-389.17","133.40","522.56","135.58","-2.04","-1006.25","-200.33","-388.20","15.13","403.33","-31.36","0","384.03","-200.33","-388.20","15.13","403.33","-31.36","0","384.03","366.14","-206.55","20.83","227.38","121.42","0","457.96","366.14","-206.55","20.83","227.38","121.42","0","457.96","-169.21","-281.34","-15.24","266.10","-6.66","0","77.96","-169.21","-281.34","-15.24","266.10","-6.66","0","77.96","-90.90","-291.10","-4.80","286.30","-9.00","0","115.70","-90.90","-291.10","-4.80","286.30","-9.00","0","115.70","562.20","-627.40","60.20","687.60","-1751.80","0","2147.40","562.20","-627.40","60.20","687.60","-1751.80","0","2147.40","15.32","-605.34","79.35","684.69","727.29","10.61","605.29","15.32","-605.34","79.35","684.69","727.29","10.61","605.29"
"7","2018-II","-242.66","-252.01","270.19","522.20","347.02","-2.03","41.85","-167.17","-641.17","403.59","1044.76","482.60","-4.06","-964.40","-232.30","-102.23","78.11","180.34","77.46","0","-622.12","-432.62","-490.43","93.24","583.68","46.10","0","-238.09","-139.38","-136.03","45.68","181.71","2.91","0","-278.46","226.76","-342.58","66.52","409.10","124.34","0","179.51","-82.85","-74.85","189.88","264.73","7.02","0","-69.95","-252.07","-356.19","174.64","530.83","0.36","0","8.01","-376.90","-265.20","2.60","267.80","-29.60","0","212.90","-467.80","-556.30","-2.20","554.10","-38.60","0","328.60","-1299.10","-618.20","64.80","683.00","439.40","0","-151.10","-736.90","-1245.60","125.00","1370.60","-1312.40","0","1996.30","-2624.37","-1984.65","383.60","2368.25","-1319.07","1.72","574.79","-2609.05","-2589.99","462.95","3052.94","-591.78","12.33","1180.08"
"8","2018-III","-577.19","-555.63","230.92","786.54","375.67","-1.98","183.39","-744.37","-1196.80","634.50","1831.30","858.27","-6.05","-781.01","-125.15","-49.16","49.37","98.53","92.76","0","-311.31","-557.78","-539.59","142.61","682.20","138.86","0","-549.40","193.16","-121.85","20.37","142.22","-18.59","0","-16.49","419.92","-464.43","86.88","551.31","105.74","0","163.02","-138.51","-155.44","175.70","331.14","21.24","0","253.14","-390.58","-511.63","350.35","861.97","21.60","0","261.15","-115.60","-66.90","11.40","78.30","-32.10","0","300.90","-583.40","-623.20","9.20","632.40","-70.70","0","629.50","-600.40","-460.60","40.50","501.10","-1274.90","0","373.70","-1337.30","-1706.20","165.50","1871.70","-2587.30","0","2370.00","-1737.78","-1073.79","18.33","1092.11","500.52","-45.21","-421.58","-4346.83","-3663.77","481.27","4145.05","-91.26","-32.88","758.51"
"9","2018-IV","-1458.25","-1236.99","-53.75","1183.24","173.58","-1.97","-412.67","-2202.61","-2433.79","580.75","3014.54","1031.85","-8.02","-1193.68","-689.80","-286.46","-555.92","-269.46","-29.29","0","9.35","-1247.58","-826.05","-413.30","412.74","109.57","0","-540.05","-35.63","-315.70","55.38","371.09","-11.70","0","-80.52","384.29","-780.13","142.26","922.40","94.04","0","82.50","-643.45","-383.56","197.05","580.61","32.83","0","-504.14","-1034.03","-895.19","547.40","1442.59","54.43","0","-242.99","-38.60","-139.30","65.90","205.20","10.40","0","135.50","-622.00","-762.50","75.10","837.60","-60.30","0","765.00","-900.50","-829.10","43.70","872.80","-108.80","0","-248.40","-2237.80","-2535.30","209.20","2744.50","-2696.10","0","2121.60","-1117.35","-906.40","-40.12","866.28","-445.98","53.87","-503.63","-5464.18","-4570.17","441.16","5011.33","-537.24","20.99","254.88"
"10","2019-I","301.62","-681.70","-20.30","661.40","-115.14","-2.06","260.75","301.62","-681.70","-20.30","661.40","-115.14","-2.06","260.75","208.95","-242.07","91.38","333.45","75.99","0","77.82","208.95","-242.07","91.38","333.45","75.99","0","77.82","624.75","-252.95","83.88","336.83","168.02","0","768.69","624.75","-252.95","83.88","336.83","168.02","0","768.69","-348.85","-278.51","116.72","395.23","9.30","0","-109.77","-348.85","-278.51","116.72","395.23","9.30","0","-109.77","-103.50","-244.10","10.80","254.90","75.30","0","212.60","-103.50","-244.10","10.80","254.90","75.30","0","212.60","-1908.90","-967.80","-162.20","805.60","-44.00","0","-623.20","-1908.90","-967.80","-162.20","805.60","-44.00","0","-623.20","49.02","-827.49","218.21","1045.70","511.87","37.25","542.03","49.02","-827.49","218.21","1045.70","511.87","37.25","542.03"
