"","FECHA","CR","SV","GT","HN","NI","DO","PA","date"
"1","2000-I","3832.15","2764.81","--","1829.79","--","5893.14","--",2000-03-01
"2","2000-II","3525.36","2970.42","--","1808.82","--","5903.98","--",2000-06-01
"3","2000-III","3659.74","2956.49","--","1706.56","--","6016.00","--",2000-09-01
"4","2000-IV","3994.16","3093.21","--","1843.16","--","6481.39","--",2000-12-01
"5","2001-I","4027.66","2943.46","5113.77","1876.35","--","6307.36","--",2001-03-01
"6","2001-II","3824.46","3158.80","4757.94","1932.18","--","6427.17","--",2001-06-01
"7","2001-III","3898.43","3021.84","4790.61","1842.23","--","6272.16","--",2001-09-01
"8","2001-IV","4222.13","3158.43","5057.67","2000.81","--","6593.68","--",2001-12-01
"9","2002-I","4147.36","2952.63","5437.51","1897.22","--","6728.66","--",2002-03-01
"10","2002-II","4042.33","3253.91","5270.71","1972.43","--","6707.75","--",2002-06-01
"11","2002-III","4053.79","3165.36","5449.13","1941.87","--","6647.38","--",2002-09-01
"12","2002-IV","4332.55","3292.30","5769.87","2045.78","--","7161.58","--",2002-12-01
"13","2003-I","4332.44","3114.02","6042.54","1972.76","--","6902.42","--",2003-03-01
"14","2003-II","4152.86","3365.70","5574.49","2051.23","--","5470.08","--",2003-06-01
"15","2003-III","4188.70","3306.83","5685.75","2013.72","--","4892.05","--",2003-09-01
"16","2003-IV","4591.96","3457.35","5781.10","2190.92","--","4957.28","--",2003-12-01
"17","2004-I","4581.94","3192.60","6171.34","2149.75","--","4652.43","--",2004-03-01
"18","2004-II","4510.16","3482.66","5942.28","2219.98","--","5157.45","--",2004-06-01
"19","2004-III","4556.57","3440.29","6171.15","2156.56","--","5820.29","--",2004-09-01
"20","2004-IV","4952.79","3609.26","6713.19","2341.70","--","7604.01","--",2004-12-01
"21","2005-I","4880.20","3348.26","7110.85","2385.67","--","8353.91","--",2005-03-01
"22","2005-II","4826.32","3750.53","6924.33","2379.81","--","9183.44","--",2005-06-01
"23","2005-III","4962.66","3670.25","6922.19","2378.98","--","9468.44","--",2005-09-01
"24","2005-IV","5364.09","3928.96","7228.88","2611.73","--","8944.54","--",2005-12-01
"25","2006-I","5444.22","3725.31","7891.53","2635.65","1646.64","8864.32","--",2006-03-01
"26","2006-II","5423.60","3910.07","7479.51","2658.50","1637.76","9570.12","--",2006-06-01
"27","2006-III","5586.34","3974.79","7764.98","2627.93","1682.44","9577.51","--",2006-09-01
"28","2006-IV","6249.89","4389.71","8171.22","2992.65","1793.92","9997.51","--",2006-12-01
"29","2007-I","6397.77","3915.66","8790.47","2984.24","1776.16","10374.04","4972.79",2007-03-01
"30","2007-II","6412.59","4214.93","8363.36","3032.22","1793.11","11059.52","5137.44",2007-06-01
"31","2007-III","6650.13","4250.24","8684.21","3006.03","1839.37","10964.84","5441.71",2007-09-01
